question_id,question_number,subject,question_statement,correct_answer,exam_name,exam_year,exam_type,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e
exams_pt-br_fuvest_2021_q_55,55,Física,"A energia irradiada pelo Sol provém da conversão de massa em energia durante reações de fusão de núcleos de hidrogênio para produzir núcleos de hélio. Atualmente, essas reações permitem ao Sol emitir radiação luminosa a uma potência de aproximadamente 4 X 10^26 W. Supondo que essa potência tenha sido mantida desde o nascimento do Sol, cerca de 5 x 10^9 anos atrás, a massa correspondente aquela perdida pelo Sol até hoje é mais próxima de",c,exams_pt-br_fuvest_2021,2021,fuvest,10^25 kg. Note e adote,10^27 kg. Velocidade da luz no vácuo: 3 x 10^8 m/s.,10^29 kg. Considere que um ano tem cerca de 3 x 10^7 s.,10^x kg.,10^y kg.
enem_2013-2_q_103,103,Filosofia,"O jogo é uma atividade ou ocupação voluntária, exercida dentro de certos e determinados limites de tempo e de espaço, segundo regras livremente consentidas, mas absolutamente obrigatórias, dotado de um fim em si mesmo, acompanhado de um sentimento de tensão e de alegria e de uma consciência de ser diferente da “vida quotidiana”.
HUIZINGA, J. Homo ludens: o jogo como elemento da cultura. São Paulo: Perspectiva, 2004.

Segundo o texto, o jogo comporta a possibilidade de fruição. Do ponto de vista das práticas corporais, essa fruição se estabelece por meio do(a)",d,enem_2013-2,2013,enem,"fixação de táticas, que define a padronização para maior alcance popular.","competitividade, que impulsiona o interesse pelo sucesso.","refinamento técnico, que gera resultados satisfatórios.","caráter lúdico, que permite experiências inusitadas.","uso tecnológico, que amplia as opções de lazer."
enem_2019-2_q_123,123,Química,"Estudos mostram o desenvolvimento de biochips utilizados para auxiliar o diagnóstico de diabetes melito, doença evidenciada pelo excesso de glicose no organismo. O teste é simples e consiste em duas reações sequenciais na superfície do biochip, entre a amostra de soro sanguíneo do paciente, enzimas específicas e reagente (iodeto de potássio, KI), conforme mostrado na imagem.

Após a adição de soro sanguíneo, o fluxo desloca-se espontaneamente da esquerda para a direita (ii) promovendo reações sequenciais, conforme as equações 1 e 2. Na primeira, há conversão de glicose do sangue em ácido glucônico, gerando peróxido de hidrogênio:

Equação 1
C6H12O6 (aq) + O2 (g) + H2O (l) Enzimas → C6H12O7 (aq) + H2O2 (aq)

Na segunda, o peróxido de hidrogênio reage com íons iodeto gerando o íon tri-iodeto, água e oxigênio.

Equação 2
2 H2O2 (aq) + 3 I− (aq) → 3 I3− (aq) + 2 H2O (l) + O2 (g)

O tipo de reação que ocorre na superfície do biochip, nas duas reações do processo, é",c,enem_2019-2,2019,enem,análise.,síntese.,oxirredução.,complexação.,ácido-base.
enem_2013-2_q_139,139,Geografia,"A cidade de Guarulhos (SP) tem o 8º PIB municipal do Brasil, além do maior aeroporto da América do Sul. Em proporção, possui a economia que mais cresce em indústrias, conforme mostra o gráfico. Crescimento - Indústria Brasil São Paulo (Estado) São Paulo (Capital) Guarulhos 60% 65% 55% 50% 45% 40% 35% 30% 25% 20% 15% 30,95% 14,76% 3,57% 10% 5% 0% 60,52% Fonte: IBGE, 2002-2008 (adaptado). Analisando os dados percentuais do gráfico, qual a diferença entre o maior e o menor centro em crescimento no polo das indústrias?",c,enem_2013-2,2013,enem,"75,28","64,09","56,95","45,76","30,07"
exams_pt-br_fuvest_2006_q_71,71,Química,"As reações, em fase gasosa, representadas pelas equações I, II e III, liberam, respectivamente, as quantidades de calor Q1 J, Q2 J e Q3 J, sendo Q3 > Q2 > Q1.
I 2 NH₃ + 5/2 O₂ → 2 NO + 3 H₂O ............. ∆H1 = -Q1 J
II 2 NH₃ + 7/2 O₂ → 2 NO₂ + 3 H₂O ............ ∆H2 = -Q2 J
III 2 NH₃ + 4 O₂ → N₂O₅ + 3 H₂O............. ∆H3 = -Q3 J
Assim sendo, a reação representada por
IV N₂O₅ → 2 NO₂ + 1/2 O₂...........................∆H4
será

a) exotérmica, com ∆H4 = (Q3 – Q1)J.

b) endotérmica, com ∆H4 = (Q2 – Q1)J.

c) exotérmica, com ∆H4 = (Q2 – Q3)J.

d) endotérmica, com ∆H4 = (Q3 – Q2)J.

e) exotérmica, com ∆H4 = (Q1 – Q2)J.",d,exams_pt-br_fuvest_2006,2006,fuvest,"exotérmica, com ∆H4 = (Q3 – Q1)J.","endotérmica, com ∆H4 = (Q2 – Q1)J.","exotérmica, com ∆H4 = (Q2 – Q3)J.","endotérmica, com ∆H4 = (Q3 – Q2)J.","exotérmica, com ∆H4 = (Q1 – Q2)J."
ita_2010-quimica_q_15,15,Química,"Uma solução aquosa saturada em fosfato de estrôncio [Sr₃(PO₄)₂] está em equilíbrio químico à temperatura de 25 °C, e a concentração de equilíbrio do íon estrôncio, nesse sistema, é de 7,5 x 10⁻⁷ mol L⁻¹. Considerando-se que ambos os reagentes (água e sal inorgânico) são quimicamente puros, assinale a alternativa CORRETA com o valor do PS(25°C) pK° do Sr₃(PO₄)₂. Dado: KPS = constante do produto de solubilidade.",d,ita_2010-quimica,2024,ita,"7,0","13,0","25,0","31,0","35,0"
ita_2010-fisica_q_20,20,Biologia,"No processo de fotossíntese, as moléculas de clorofila do tipo a nas plantas verdes apresentam um pico de absorção da radiação eletromagnética no comprimento de onda λ = 6,80 x 10⁻⁷m. Considere que a formação de glicose (C₆H₁₂O₆) por este processo de fotossíntese é descrita, de forma simplificada, pela reação: 6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂. Sabendo-se que a energia total necessária para que uma molécula de CO₂ reaja é de 2,34 x 10⁻¹⁸J, o número de fótons que deve ser absorvido para formar 1 mol de glicose é",c,ita_2010-fisica,2024,ita,8.,24.,48.,120.,240.
enem_2013-1_q_3,3,Geografia,"No dia 1º de julho de 2012, a cidade do Rio de Janeiro tornou-se a primeira do mundo a receber o título da Unesco de Patrimônio Mundial como Paisagem Cultural. A candidatura, apresentada pelo Instituto do Patrimônio Histórico e Artístico Nacional (Iphan), foi aprovada durante a 36ª Sessão do Comitê do Patrimônio Mundial. O presidente do Iphan explicou que “a paisagem carioca é a imagem mais explícita do que podemos chamar de civilização brasileira, com sua originalidade, desafios, contradições e possibilidades”. A partir de agora, os locais da cidade valorizados com o título da Unesco serão alvo de ações integradas visando a preservação da sua paisagem cultural. Disponível em: www.cultura.gov.br. Acesso em: 7 mar. 2013 (adaptado).",e,enem_2013-1,2013,enem,presença do corpo artístico local.,imagem internacional da metrópole.,herança de prédios da ex-capital do país.,diversidade de culturas presente na cidade.,relação sociedade-natureza de caráter singular.
unicamp_2017_q_35,35,Física,"No conto “O mistério de Maria Rogêt”, de Edgar Alan Poe, ao procurar esclarecer a verdadeira identidade de um cadáver jogado na água, o detetive Dupin, mediante a análise dos fatos e das informações da imprensa, faz uso do seguinte raciocínio científico:
“ (...) a gravidade específica do corpo humano, em sua condição natural, é quase igual à massa de água doce que ele desloca. (...) É evidente, contudo, que as gravidades do corpo e da massa de água deslocada são muito delicadamente equilibradas, e que uma ninharia pode fazer com que uma delas predomine. Um braço, por exemplo, erguido fora d'água e assim privado de seu equivalente é um peso adicional suficiente para imergir toda a cabeça, ao passo que a ajuda casual do menor pedaço de madeira habilitar-nos-á a elevar a cabeça, para olhar em derredor”. (Edgar Alan Poe, apud João Zanetic, Física e Literatura: construindo uma ponte entre as duas culturas. 2006, p. 61. Disponível em http://www.scielo.br/pdf/hcsm/v13s0/03.pdf. Acessado em 05/07/2016.) A partir do raciocínio científico presente no excerto acima, é correto afirmar que:",a,unicamp_2017,2017,unicamp,"A densidade de massa de um corpo humano é aproximadamente igual à da água, e retirar o braço para fora da água reduziria a força de empuxo, contrária ao peso do corpo, contribuindo para seu afundamento.","O corpo humano está submetido a uma aceleração gravitacional aproximadamente igual à que atua na porção de água de mesma massa que o corpo, e retirar o braço para fora da água reduziria a força de empuxo, contrária ao peso do corpo, contribuindo para seu afundamento.","A densidade de massa de um corpo humano é aproximadamente igual à da água, e retirar o braço para fora da água aumentaria a força de empuxo, contrária ao peso do corpo, contribuindo para seu afundamento.","O corpo humano está submetido a uma aceleração gravitacional aproximadamente igual à que atua na porção de água de mesma massa que o corpo, e retirar o braço para fora da água aumentaria a força de empuxo, contrária ao peso do corpo, contribuindo para seu afundamento.",
exams_pt-br_fuvest_2006_q_42,42,Geografia,"A política externa dos Estados Unidos com relação à América Latina, na segunda metade do século XX, se pautou",c,exams_pt-br_fuvest_2006,2006,fuvest,"pelo modelo criado pela Política de Boa Vizinhança (PBV), em particular nos momentos de rejeição às intervenções armadas.",por tratados de comércio nos quais os participantes recebem tratamento simétrico em nome dos princípios do pan-americanismo.,"pelo papel decisivo dos EUA nas diretrizes da Organização dos Estados Americanos (OEA), em especial no tocante a Cuba.","pela defesa constante da democracia no continente, inclusive no período das ditaduras militares no Cone Sul.","pela escolha da América Latina, como principal alvo político e mercado de investimentos, escalonada depois da Europa e Ásia."
unicamp_2020_q_19,19,Geografia,"Matriz energética é o conjunto de fontes de energia disponíveis. Os gráficos a seguir representam a matriz energética no mundo e no Brasil, mostrando as fontes de energia renováveis e não renováveis.
[1] Carvão.
[2] Petróleo e derivados.
[3] Gás natural.
[4] Nuclear.
[5] Energia hidráulica.
[6] Biomassa.
[7] Energia solar, eólica e geotérmica.
[8] Derivados de cana-de-açúcar.
[9] Lenha e carvão vegetal.
[10] Outras fontes não renováveis.
[11] Lixívia (líquido resultante do processamento da madeira para extração da celulose) e outras fontes renováveis.
(Fonte: http://www.epe.gov.br/pt/abcdenergia/matriz-energetica-e-eletrica. Acessado em 02/05/2019.)
Considerando seus conhecimentos sobre meio ambiente e as informações fornecidas, assinale a alternativa correta.",c,unicamp_2020,2020,unicamp,"A matriz energética brasileira utiliza menor porcentagem de energia renovável que a mundial, com o uso predominante de combustíveis fósseis.","Gás natural, biomassa, energia hidráulica, energia solar, eólica e geotérmica são as fontes renováveis de energia utilizadas na matriz mundial.","A matriz energética brasileira é mais dependente de fontes renováveis de energia do que a matriz mundial, como alternativa ao uso de combustíveis fósseis.","Os biocombustíveis derivados da cana-de-açúcar e do gás natural são as principais fontes renováveis nas matrizes brasileira e mundial, respectivamente.",
exams_pt-br_fuvest_2005_q_22,22,Matemática,O menor número inteiro positivo que devemos adicionar a 987 para que a soma seja o quadrado de um número inteiro positivo é,a,exams_pt-br_fuvest_2005,2005,fuvest,37,36,35,34,33
exams_pt-br_fuvest_2004_q_69,69,Química,"“São animadores os números da safra de grãos do Brasil, que deverá colher neste ano o recorde histórico de 120 milhões de toneladas. Com isto, o Brasil deverá tornar-se o maior exportador mundial de soja, suplantando os Estados Unidos”. Folha de São Paulo, 2003

O acréscimo de produção de soja citado acarretará

I. aumento do “buraco na camada de ozônio”, pois nas plantações de soja são utilizados clorofluorocarbonetos como fertilizantes.
II. maior consumo de água, necessária à irrigação, que, em parte, será absorvida pelo vegetal.
III. aumento da quantidade de CO₂ atmosférico, diretamente produzido pela fotossíntese.
IV. aumento da área de solos ácidos, gerados pela calagem, em que se utiliza calcário com altos teores de óxido de cálcio e óxido de magnésio.

Dessas afirmações,",b,exams_pt-br_fuvest_2004,2004,fuvest,somente I é correta.,somente II é correta.,somente II e III são corretas.,somente III e IV são corretas.,todas são corretas.
exams_pt-br_fuvest_2005_q_50,50,Geografia,Pode-se caracterizar parte da complexidade sócioeconômica do Brasil pela,b,exams_pt-br_fuvest_2005,2005,fuvest,"elevada dívida externa, usada para financiar o alto Índice de Desenvolvimento Humano do país.",elevada concentração de terras que são utilizadas como reserva de valor e para agronegócios.,"exportação de produtos tecnológicos, principal componente da balança comercial brasileira.","concentração da renda no eixo Sul-Sudeste, em virtude da presença de imigrantes europeus.","queda da produção agrícola para exportação, devido ao protecionismo de países centrais."
enem_2013-2_q_104,104,Sociologia,"Novas tecnologias
Atualmente, prevalece na mídia um discurso de exaltação das novas tecnologias, principalmente aquelas ligadas às atividades de telecomunicações. Expressões frequentes como “o futuro já chegou”, “maravilhas tecnológicas” e “conexão total com o mundo” “fetichizam” novos produtos, transformando-os em objetos do desejo, de consumo obrigatório. Por esse motivo carregamos hoje nos bolsos, bolsas e mochilas o “futuro” tão festejado.
Todavia, não podemos reduzir-nos a meras vítimas de um aparelho midiático perverso, ou de um aparelho capitalista controlador. Há perversão, certamente, e controle, sem sombra de dúvida. Entretanto, desenvolvemos uma relação simbiótica de dependência mútua com os veículos de comunicação, que se estreita a cada imagem compartilhada e a cada dossiê pessoal transformado em objeto público de entretenimento.
Não mais como aqueles acorrentados na caverna de Platão, somos livres para nos aprisionar, por espontânea vontade, a esta relação sadomasoquista com as estruturas midiáticas, na qual tanto controlamos quanto somos controlados.
SAMPAIO, A. S. A microfísica do espetáculo. Disponível em: http://observatoriodaimprensa.com.br.
Acesso em: 1 mar. 2013 (adaptado).

Ao escrever um artigo de opinião, o produtor precisa criar uma base de orientação linguística que permita alcançar os leitores e convencê-los com relação ao ponto de vista defendido. Diante disso, nesse texto, a escolha das formas verbais em destaque objetiva",d,enem_2013-2,2013,enem,"criar relação de subordinação entre leitor e autor, já que ambos usam as novas tecnologias.",enfatizar a probabilidade de que toda população brasileira esteja aprisionada às novas tecnologias.,"indicar, de forma clara, o ponto de vista de que hoje as pessoas são controladas pelas novas tecnologias.",tornar o leitor copartícipe do ponto de vista de que ele manipula as novas tecnologias e por elas é manipulado.,demonstrar ao leitor sua parcela de responsabilidade por deixar que as novas tecnologias controlem as pessoas.
unicamp_2015_q_45,45,Sociologia,"A observação do canavial fornece, numa primeira impressão, a imagem de um mar de cana, um todo homogêneo no qual se distribuem os trabalhadores. Essa visão se desfaz quando se analisa o processo de trabalho.
Na medida em que se penetra no interior das relações de produção, descortina-se um universo submerso, pilar básico de uma estrutura de dominação.
(A respeito das relações de trabalho nas fazendas de canade-açúcar em várias regiões do Brasil, é correto afirmar que:)",d,unicamp_2015,2015,unicamp,A elevada mecanização da lavoura e as exigências das leis trabalhistas levam os antigos cortadores de cana a serem empregados nos setores de produção no interior das usinas de álcool e de açúcar.,"A expansão dos canaviais e o aumento da produção de álcool e de açúcar permitem que os trabalhadores permaneçam empregados durante todo o ano, reduzindo o trabalho sazonal.","As usinas eliminam os pagamentos dos trabalhadores por produtividade no corte da cana, e, com isso, os ganhos salariais passam a ser computados apenas pelos dias trabalhados.","Os trabalhadores são migrantes sazonais que se deslocam para o trabalho manual nos canaviais e retornam para suas antigas regiões após a colheita, dedicando-se a atividades de subsistência.",
unicamp_2015_q_22,22,História,"Apenas a procriação de filhos legítimos, embora essencial, não justifica a escolha da esposa. As ambições políticas e as necessidades econômicas que as subentendem exercem um papel igualmente poderoso. Como demonstraram inúmeros estudos, os dirigentes atenienses casam-se entre si, e geralmente com o parente mais próximo possível, isto é, primos coirmãos. É sintomático que os autores antigos que nos informam sobre o casamento de homens políticos atenienses omitam os nomes das mulheres desposadas, mas nunca o nome do seu pai ou do seu marido precedente. (Adaptado de Alain Corbin e outros, História da virilidade, vol. 1. Petrópolis: Vozes, 2014, p. 62.) Considerando o texto e a situação da mulher na Atenas clássica, podemos afirmar que se trata de uma sociedade",a,unicamp_2015,2015,unicamp,na qual o casamento também tem implicações políticas e sociais.,"que, por ser democrática, dá uma atenção especial aos direitos da mulher.",em que o amor é o critério principal para a formação de casais da elite.,em que o direito da mulher se sobrepõe ao interesse político e social.,
ime_2021_q_18,18,Física,"Uma fonte sonora A, que emite um som de frequência constante, e um observador B estão próximos um do outro e movem-se lentamente de acordo com as equações temporais no Plano XY mostradas abaixo:
XA = cos(t) + log(1 + t)
YA = 2t + 3
XB = log(1 + t) − sen(t)
YB = 2t − 1
Considerando que a fonte sonora emita um som de frequência constante, a frequência percebida pelo observador, dentre as opções, é desprovida de efeito Doppler quando o instante t for:",d,ime_2021,2021,ime,0,π/6,π/2,3π/4,π
exams_pt-br_fuvest_2010_q_11,11,História,"“A instituição das corveias variava de acordo com os domínios senhoriais, e, no interior de cada um, de acordo com o estatuto jurídico dos camponeses, ou de seus mansos [parcelas de terra].”
Marc Bloch. Os caracteres originais da França rural, 1952.
Esta frase sobre o feudalismo trata",d,exams_pt-br_fuvest_2010,2010,fuvest,da vassalagem.,do colonato.,do comitatus.,da servidão.,da guilda.
unicamp_2020_q_33,33,Matemática,"Cinco pessoas devem ficar em pé, uma ao lado da outra, para tirar uma fotografia, sendo que duas delas se recusam a ficar lado a lado. O número de posições distintas para as cinco pessoas serem fotografadas juntas é igual a",b,unicamp_2020,2020,unicamp,48.,72.,96.,120.,
enem_2021-2_q_152,152,Física,"O projeto de um contêiner, em forma de paralelepípedo reto retangular, previa a pintura dos dois lados (interno e externo) de cada uma das quatro paredes com tinta acrílica e a pintura do piso interno com tinta epóxi. O construtor havia pedido, a cinco fornecedores diferentes, orçamentos das tintas necessárias, mas, antes de iniciar a obra, resolveu mudar o projeto original, alterando o comprimento e a largura para o dobro do originalmente previsto, mantendo inalterada a altura. Ao pedir novos orçamentos aos fornecedores, para as novas dimensões, cada um deu uma resposta diferente sobre as novas quantidades de tinta necessárias.

- Fornecedor I: “O dobro, tanto para as paredes quanto para o piso.”
- Fornecedor II: “O dobro para as paredes e quatro vezes para o piso.”
- Fornecedor III: “Quatro vezes, tanto para as paredes quanto para o piso.”
- Fornecedor IV: “Quatro vezes para as paredes e o dobro para o piso.”
- Fornecedor V: “Oito vezes para as paredes e quatro vezes para o piso.”

Analisando as informações dos fornecedores, o construtor providenciará a quantidade adequada de material. Considere a porta de acesso do contêiner como parte de uma das paredes. Qual dos fornecedores prestou as informações adequadas?",b,enem_2021-2,2021,enem,I,II,III,IV,V
exams_pt-br_fuvest_2005_q_69,69,Química,"Em um bate-papo na Internet, cinco estudantes de química decidiram não revelar seus nomes, mas apenas as duas primeiras letras, por meio de símbolos de elementos químicos. Nas mensagens, descreveram algumas características desses elementos.
– É produzido, a partir da bauxita, por um processo que consome muita energia elétrica. Entretanto, parte do que é produzido, após utilização, é reciclado.
– É o principal constituinte do aço. Reage com água e oxigênio, formando um óxido hidratado.
– É o segundo elemento mais abundante na crosta terrestre. Na forma de óxido, está presente na areia. É empregado em componentes de computadores.
– Reage com água, desprendendo hidrogênio. Combina-se com cloro, formando o principal constituinte do sal de cozinha.
– Na forma de cátion, compõe o mármore e a cal.

Os nomes dos estudantes, na ordem em que estão apresentadas as mensagens, podem ser",b,exams_pt-br_fuvest_2005,2005,fuvest,"Silvana, Carlos, Alberto, Nair, Fernando.","Alberto, Fernando, Silvana, Nair, Carlos.","Silvana, Carlos, Alberto, Fernando, Nair.","Nair, Alberto, Fernando, Silvana, Carlos.","Alberto, Fernando, Silvana, Carlos, Nair."
exams_pt-br_fuvest_2018_q_90,90,Inglês,"Segundo o texto, a execução de um algoritmo consiste em um processo que",d,exams_pt-br_fuvest_2018,2018,fuvest,prevê a memorização de tabelas e fórmulas.,envolve mecanismos de seleção e detecção de erros.,se apoia em um número infinito de etapas.,é incompatível com análises subjetivas e imprecisas.,alterna níveis altos e baixos de esforço intelectual.
unicamp_2015_q_21,21,Filosofia,"A maneira pela qual adquirimos qualquer conhecimento constitui suficiente prova de que não é inato. (John Locke, Ensaio acerca do entendimento humano. São Paulo: Nova Cultural, 1988, p.13.) O empirismo, corrente filosófica da qual Locke fazia parte,",a,unicamp_2015,2015,unicamp,"afirma que o conhecimento não é inato, pois sua aquisição deriva da experiência.","é uma forma de ceticismo, pois nega que os conhecimentos possam ser obtidos.","aproxima-se do modelo científico cartesiano, ao negar a existência de ideias inatas.",defende que as ideias estão presentes na razão desde o nascimento.,
enem_2018-1_q_1,1,Espanhol,"Na introdução do romance, o narrador resgata lembranças de Plácida Linero relacionadas a seu filho Santiago Nasar. Nessa introdução, o uso da expressão augurio aciago remete ao(à)",b,enem_2018-1,2018,enem,A relação mística que se estabelece entre Plácida e seu filho Santiago.,"B destino trágico de Santiago, que Plácida foi incapaz de prever nos sonhos.",C descompasso entre a felicidade de Santiago nos sonhos e seu azar na realidade.,D crença de Plácida na importância da interpretação dos sonhos para mudar o futuro.,E presença recorrente de elementos sombrios que se revelam nos sonhos de Santiago.
